metodo,nodos,num_de_instancia,tiempo_s,memoria_pico_MB,iteraciones,valor_objetivo
HookeJeeves,10,16,0.011414051055908203,157.84765625,28,16885.179706956056
Weiszfeld1,10,16,0.003202199935913086,157.84765625,176,16885.179706956093
Descenso,10,16,0.004216432571411133,157.84765625,84,16885.179706956067
HookeJeeves,10,17,0.021870136260986328,157.84765625,39,15210.720851281232
Weiszfeld1,10,17,0.03383660316467285,157.84765625,1452,15210.72085133563
Descenso,10,17,0.0510859489440918,157.84765625,555,15210.720851299131
HookeJeeves,10,18,0.02639031410217285,157.97265625,39,16087.799173443516
Weiszfeld1,10,18,0.004178047180175781,157.97265625,224,16087.79917113788
Descenso,10,18,0.014514446258544922,157.97265625,148,16087.799191270346
HookeJeeves,10,19,0.0111236572265625,157.97265625,28,20911.97426264431
Weiszfeld1,10,19,0.002417325973510742,157.97265625,124,20911.97426264433
Descenso,10,19,0.0027980804443359375,157.97265625,68,20911.974262644315
HookeJeeves,10,20,0.007612705230712891,157.97265625,20,18101.43250318041
Weiszfeld1,10,20,0.0037004947662353516,157.97265625,168,18101.432503180436
Descenso,10,20,0.002526521682739258,157.97265625,64,18101.432503180415
HookeJeeves,10,21,0.01540684700012207,157.97265625,32,14043.703440589672
Weiszfeld1,10,21,0.0014324188232421875,157.97265625,144,14043.703440066602
Descenso,10,21,0.007033109664916992,157.97265625,72,14043.703444451548
HookeJeeves,10,22,0.012734413146972656,157.97265625,32,16918.354000311785
Weiszfeld1,10,22,0.002384185791015625,157.97265625,124,16918.354000311803
Descenso,10,22,0.003026723861694336,157.97265625,60,16918.354000311792
HookeJeeves,10,23,0.013746023178100586,157.97265625,28,13439.536400704628
Weiszfeld1,10,23,0.006433725357055664,157.97265625,356,13439.5364007047
Descenso,10,23,0.0055387020111083984,157.97265625,132,13439.536400704636
HookeJeeves,10,24,0.011887073516845703,157.97265625,28,20553.683487964325
Weiszfeld1,10,24,0.002271890640258789,157.97265625,120,20553.683487964336
Descenso,10,24,0.0028219223022460938,157.97265625,72,20553.683487964332
HookeJeeves,10,25,0.002024412155151367,157.97265625,4,11299.093240573085
Weiszfeld1,10,25,0.00020384788513183594,157.97265625,8,11299.093240573085
