metodo,nodos,num_de_instancia,tiempo_s,iteraciones,valor_objetivo
HookeJeeves,100,1,0.07825016975402832,10,45616455.951415114
Weiszfeld,100,1,0.0009961128234863281,11,45616455.95141512
Descenso,100,1,0.005449056625366211,14,45616455.95141515
HookeJeeves,100,2,0.04711151123046875,6,49996099.959917694
Weiszfeld,100,2,0.0010159015655517578,11,49996099.9599177
Descenso,100,2,0.00302886962890625,12,49996099.9599177
HookeJeeves,100,3,0.07968807220458984,10,46731947.37539931
Weiszfeld,100,3,0.0009768009185791016,11,46731947.375399314
Descenso,100,3,0.0028908252716064453,11,46731947.37539933
HookeJeeves,100,4,0.04207468032836914,6,44555659.19538603
Weiszfeld,100,4,0.0009167194366455078,11,44555659.19538604
Descenso,100,4,0.0030364990234375,13,44555659.19538603
HookeJeeves,100,5,0.03994560241699219,6,45630109.22796102
Weiszfeld,100,5,0.0009827613830566406,12,45630109.227961004
Descenso,100,5,0.0032274723052978516,13,45630109.22796101
HookeJeeves,500,1,0.08552765846252441,7,5512892829.124958
Weiszfeld,500,1,0.0014896392822265625,12,5512892829.124958
Descenso,500,1,0.06325054168701172,8,5512892829.124959
HookeJeeves,500,2,0.0613250732421875,5,5776371532.275988
Weiszfeld,500,2,0.0013570785522460938,11,5776371532.275989
Descenso,500,2,0.18946242332458496,24,5776371532.275988
HookeJeeves,500,3,0.07051897048950195,6,5645460145.140792
Weiszfeld,500,3,0.0013632774353027344,11,5645460145.140793
Descenso,500,3,0.07322573661804199,9,5645460145.140794
HookeJeeves,500,4,0.06709456443786621,6,5742494039.704223
Weiszfeld,500,4,0.0013630390167236328,11,5742494039.704224
Descenso,500,4,0.17570042610168457,22,5742494039.7042265
HookeJeeves,500,5,0.1096792221069336,8,5498152851.21639
Weiszfeld,500,5,0.0013692378997802734,11,5498152851.216389
Descenso,500,5,0.06480216979980469,7,5498152851.216392
HookeJeeves,1000,1,0.0825958251953125,5,45335726162.11118
Weiszfeld,1000,1,0.0020906925201416016,11,45335726162.11119
Descenso,1000,1,0.21514344215393066,7,45335726162.11119
HookeJeeves,1000,2,0.284590482711792,14,46205561410.14719
Weiszfeld,1000,2,0.001973867416381836,11,46205561410.147194
Descenso,1000,2,0.4921073913574219,24,46205561410.14722
HookeJeeves,1000,3,0.0834512710571289,5,44575371077.16586
Weiszfeld,1000,3,0.0021774768829345703,12,44575371077.16586
Descenso,1000,3,0.16472649574279785,8,44575371077.16588
HookeJeeves,1000,4,0.4144740104675293,18,43866603204.237015
Weiszfeld,1000,4,0.0023097991943359375,12,43866603204.237015
Descenso,1000,4,0.16492581367492676,8,43866603204.237015
HookeJeeves,1000,5,0.11273407936096191,6,44907388268.875046
Weiszfeld,1000,5,0.002153158187866211,12,44907388268.87506
Descenso,1000,5,0.17329859733581543,8,44907388268.87506
HookeJeeves,5000,1,0.5408506393432617,8,5622638727195.162
Weiszfeld,5000,1,0.008012771606445312,12,5622638727195.163
Descenso,5000,1,17.32785654067993,20,5622638727195.162
HookeJeeves,5000,2,6.232723236083984,74,5624829164911.342
Weiszfeld,5000,2,0.008052825927734375,12,5624829164911.342
Descenso,5000,2,14.835948467254639,17,5624829164911.344
HookeJeeves,5000,3,3.45595645904541,42,5613722024604.721
Weiszfeld,5000,3,0.007577419281005859,12,5613722024604.721
Descenso,5000,3,17.09966778755188,19,5613722024604.722
HookeJeeves,5000,4,0.9107420444488525,12,5554566190866.561
Weiszfeld,5000,4,0.007668018341064453,12,5554566190866.561
Descenso,5000,4,16.563406229019165,19,5554566190866.562
HookeJeeves,5000,5,0.4745910167694092,7,5606851362342.08
Weiszfeld,5000,5,0.007588624954223633,12,5606851362342.08
Descenso,5000,5,15.641967535018921,18,5606851362342.082
HookeJeeves,10000,1,1.1665990352630615,8,44650087768946.875
Weiszfeld,10000,1,0.01452946662902832,12,44650087768946.88
Descenso,10000,1,115.86799693107605,18,44650087768946.89
HookeJeeves,10000,2,0.6176562309265137,5,45583913899507.086
Weiszfeld,10000,2,0.014280319213867188,12,45583913899507.09
Descenso,10000,2,103.16444110870361,16,45583913899507.11
HookeJeeves,10000,3,1.5788073539733887,11,45285595044169.125
Weiszfeld,10000,3,0.014170408248901367,12,45285595044169.125
Descenso,10000,3,122.54434299468994,19,45285595044169.13
HookeJeeves,10000,4,2.9490256309509277,19,45022799346352.02
Weiszfeld,10000,4,0.015070915222167969,12,45022799346352.03
Descenso,10000,4,122.20973801612854,19,45022799346352.03
HookeJeeves,10000,5,0.7809007167816162,6,45473194129806.76
Weiszfeld,10000,5,0.01426386833190918,12,45473194129806.766
Descenso,10000,5,102.89026689529419,16,45473194129806.78
