metodo,nodos,num_de_instancia,tiempo_s,iteraciones,valor_objetivo
HookeJeeves,100,1,0.07719135284423828,11,32745951.566685587
Weiszfeld,100,1,0.002332925796508789,31,32745951.566685587
Descenso,100,1,0.008207082748413086,22,32745951.566685583
HookeJeeves,100,2,0.06695246696472168,9,36818816.21469615
Weiszfeld,100,2,0.0023043155670166016,32,36818816.21469609
Descenso,100,2,0.005262613296508789,23,36818816.21469607
HookeJeeves,100,3,0.07068395614624023,10,53204671.95031632
Weiszfeld,100,3,0.001916646957397461,26,53204671.95031632
Descenso,100,3,0.004975795745849609,21,53204671.950316325
HookeJeeves,100,4,0.05942273139953613,9,43127066.337106176
Weiszfeld,100,4,0.002115488052368164,29,43127066.33710617
Descenso,100,4,0.004590749740600586,19,43127066.337106176
HookeJeeves,100,5,0.0652925968170166,10,40951601.94679898
Weiszfeld,100,5,0.0025069713592529297,35,40951601.94679897
Descenso,100,5,0.005585670471191406,24,40951601.94679896
HookeJeeves,500,1,1.1342391967773438,81,4580620336.529989
Weiszfeld,500,1,0.004170417785644531,35,4580620336.529989
Descenso,500,1,0.2140662670135498,18,4580620336.529989
HookeJeeves,500,2,0.3409886360168457,24,5436093338.606171
Weiszfeld,500,2,0.003592252731323242,30,5436093338.606172
Descenso,500,2,0.13210010528564453,17,5436093338.606173
HookeJeeves,500,3,0.16923236846923828,14,4514344626.47993
Weiszfeld,500,3,0.003918170928955078,33,4514344626.47993
Descenso,500,3,0.14331984519958496,18,4514344626.479931
HookeJeeves,500,4,0.16983342170715332,15,4823758194.25537
Weiszfeld,500,4,0.00461888313293457,42,4823758194.255371
Descenso,500,4,0.1800093650817871,22,4823758194.255371
HookeJeeves,500,5,0.15374469757080078,13,4609237663.281141
Weiszfeld,500,5,0.004004240036010742,36,4609237663.281142
Descenso,500,5,0.15793299674987793,19,4609237663.281143
HookeJeeves,1000,1,0.142913818359375,9,39777685812.3388
Weiszfeld,1000,1,0.0051097869873046875,30,39777685812.3388
Descenso,1000,1,0.3327798843383789,18,39777685812.3388
HookeJeeves,1000,2,0.2058413028717041,12,36176638191.40637
Weiszfeld,1000,2,0.005658388137817383,34,36176638191.40638
Descenso,1000,2,0.3966386318206787,18,36176638191.40639
HookeJeeves,1000,3,0.1623842716217041,10,41620575463.46869
Weiszfeld,1000,3,0.005178689956665039,31,41620575463.4687
Descenso,1000,3,0.2913239002227783,15,41620575463.468704
HookeJeeves,1000,4,0.1530301570892334,9,43063026301.41867
Weiszfeld,1000,4,0.00612187385559082,36,43063026301.41868
Descenso,1000,4,0.3699531555175781,20,43063026301.41868
HookeJeeves,1000,5,0.24200797080993652,14,36499468016.13517
Weiszfeld,1000,5,0.006152629852294922,37,36499468016.13516
Descenso,1000,5,0.43109846115112305,18,36499468016.135185
HookeJeeves,5000,1,0.6550276279449463,11,4106869548795.3896
Weiszfeld,5000,1,0.024159669876098633,39,4106869548795.39
Descenso,5000,1,15.021711349487305,17,4106869548795.3896
HookeJeeves,5000,2,0.490206241607666,9,5468158021764.719
Weiszfeld,5000,2,0.02280569076538086,37,5468158021764.719
Descenso,5000,2,15.905281782150269,18,5468158021764.719
HookeJeeves,5000,3,0.8479228019714355,14,4775839025621.989
Weiszfeld,5000,3,0.02323746681213379,38,4775839025621.99
Descenso,5000,3,14.893235445022583,17,4775839025621.99
HookeJeeves,5000,4,1.9269306659698486,25,4732729949615.86
Weiszfeld,5000,4,0.018461227416992188,30,4732729949615.861
Descenso,5000,4,20.150555849075317,23,4732729949615.863
HookeJeeves,5000,5,1.0246248245239258,15,4593924506582.801
Weiszfeld,5000,5,0.019089460372924805,31,4593924506582.801
Descenso,5000,5,20.935516357421875,24,4593924506582.801
HookeJeeves,10000,1,7.575218915939331,49,38470841452879.555
Weiszfeld,10000,1,0.03951573371887207,33,38470841452879.56
Descenso,10000,1,156.1976602077484,24,38470841452879.58
HookeJeeves,10000,2,1.5002615451812744,12,40464015772584.41
Weiszfeld,10000,2,0.038126230239868164,33,40464015772584.414
Descenso,10000,2,110.82401180267334,17,40464015772584.42
HookeJeeves,10000,3,1.8843884468078613,15,38099016714263.08
Weiszfeld,10000,3,0.055680036544799805,46,38099016714263.086
Descenso,10000,3,110.36563277244568,17,38099016714263.1
HookeJeeves,10000,4,6.584181547164917,43,36832927259772.7
Weiszfeld,10000,4,0.036943912506103516,32,36832927259772.71
Descenso,10000,4,143.70133686065674,22,36832927259772.71
HookeJeeves,10000,5,1.3477604389190674,11,34847710279544.668
Weiszfeld,10000,5,0.03695034980773926,32,34847710279544.67
Descenso,10000,5,143.02021503448486,22,34847710279544.676
